(598, -20473)
(2220, -20356)
(2624, -20280)
(4656, -19882)
(6754, -19091)
(7402, -18829)
(8302, -18451)
(8866, -18163)
(10206, -17321)
(11546, -16285)
(11734, -16121)
(13374, -14532)
(13512, -14360)
(14298, -13363)
(14782, -12727)
(15226, -12055)
(15590, -11454)
(15858, -10987)
(16528, -9558)
(16778, -8892)
(17152, -7834)
(17438, -6920)
(17612, -6177)
(17750, -4002)
(17764, -1745)
(17765, 4757)
(17685, 5525)
(17663, 5684)
(17625, 5890)
(17417, 7000)
(16783, 8842)
(16499, 9657)
(16397, 9903)
(15689, 11254)
(15647, 11326)
(14703, 12836)
(14155, 13616)
(13461, 14445)
(12607, 15312)
(12381, 15528)
(10965, 16741)
(10023, 17424)
(8703, 18230)
(8221, 18503)
(7671, 18758)
(7255, 18941)
(5615, 19570)
(4589, 19898)
(2509, 20299)
(1467, 20384)
(561, 20439)
(-473, 20447)
(-791, 20438)
(-1715, 20405)
(-2863, 20264)
(-3943, 20055)
(-5449, 19626)
(-6317, 19328)
(-7349, 18889)
(-9353, 17808)
(-9413, 17773)
(-10323, 17239)
(-11349, 16468)
(-11827, 16042)
(-12425, 15489)
(-13325, 14485)
(-14549, 13093)
(-14939, 12350)
(-14969, 11870)
(-14993, 10273)
(-14996, -8271)
(-14986, -11343)
(-14938, -12054)
(-14680, -12836)
(-14296, -13399)
(-13614, -14230)
(-13254, -14639)
(-11924, -15913)
(-11524, -16269)
(-10348, -17188)
(-9952, -17475)
(-9870, -17527)
(-8486, -18361)
(-7106, -19023)
(-5948, -19479)
(-4892, -19822)
(-3216, -20192)
(-1624, -20419)
(-1472, -20439)
(598, -20473)
